row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode
8071,CA-2020-151750,2020-01-01,2020-01-05,Standard Class,JM-15250,Janet Martin,Consumer,United States,Huntsville,Texas,Central,FUR-FU-10002116,Furniture,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",164.42,5,-187.3815,0.0,Online
8072,CA-2020-151750,2020-01-01,2020-01-05,Standard Class,JM-15250,Janet Martin,Consumer,United States,Huntsville,Texas,Central,FUR-CH-10003199,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,322.744,4,-26.6352,0.0,COD
8070,CA-2020-151750,2020-01-01,2020-01-05,Standard Class,JM-15250,Janet Martin,Consumer,United States,Huntsville,Texas,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,472.56,5,-107.958,0.0,COD
4010,CA-2020-144463,2020-01-01,2020-01-05,Standard Class,SC-20725,Steven Cartwright,Consumer,United States,Los Angeles,California,West,FUR-FU-10001215,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",487.43,11,199.2606,0.0,Online
8073,CA-2020-151750,2020-01-01,2020-01-05,Standard Class,JM-15250,Janet Martin,Consumer,United States,Huntsville,Texas,Central,OFF-AR-10003158,Office Supplies,Art,Fluorescent Highlighters by Dixon,93.736,4,2.2288,0.0,Online
8074,CA-2020-151750,2020-01-01,2020-01-05,Standard Class,JM-15250,Janet Martin,Consumer,United States,Huntsville,Texas,Central,OFF-BI-10000301,Office Supplies,Binders,GBC Instant Report Kit,120.47,5,-9.705,0.0,Online
6683,CA-2020-154466,2020-01-01,2020-01-02,First Class,DP-13390,Dennis Pardue,Home Office,United States,Franklin,Wisconsin,Central,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,107.6,2,1.728,0.0,COD
8076,CA-2020-151750,2020-01-01,2020-01-05,Standard Class,JM-15250,Janet Martin,Consumer,United States,Huntsville,Texas,Central,OFF-AP-10004708,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,110.224,2,-38.8212,0.0,Online
8075,CA-2020-151750,2020-01-01,2020-01-05,Standard Class,JM-15250,Janet Martin,Consumer,United States,Huntsville,Texas,Central,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",137.748,14,-22.6842,0.0,Online
849,CA-2020-107503,2020-01-01,2020-01-06,Standard Class,GA-14725,Guy Armstrong,Consumer,United States,Lorain,Ohio,East,FUR-FU-10003878,Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",145.896,4,8.5568,0.0,Online
8364,CA-2020-147207,2020-01-02,2020-01-04,Second Class,TS-21655,Trudy Schmidt,Consumer,United States,El Paso,Texas,Central,OFF-ST-10002615,Office Supplies,Storage,"Dual Level, Single-Width Filing Carts",415.144,3,27.9108,0.0,Online
1341,CA-2020-113481,2020-01-02,2020-01-04,First Class,AS-10045,Aaron Smayling,Corporate,United States,Jacksonville,North Carolina,South,TEC-MA-10002178,Technology,Machines,Cisco CP-7937G Unified IP Conference Station Phone,708.7,2,-27.828,0.0,Online
8363,CA-2020-147207,2020-01-02,2020-01-04,Second Class,TS-21655,Trudy Schmidt,Consumer,United States,El Paso,Texas,Central,FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut",953.43,5,-169.637,0.0,Online
8362,CA-2020-147207,2020-01-02,2020-01-04,Second Class,TS-21655,Trudy Schmidt,Consumer,United States,El Paso,Texas,Central,OFF-AP-10000027,Office Supplies,Appliances,Hoover Commercial SteamVac,75.432,2,-13.58,0.0,Online
1342,CA-2020-113481,2020-01-02,2020-01-04,First Class,AS-10045,Aaron Smayling,Corporate,United States,Jacksonville,North Carolina,South,OFF-BI-10003694,Office Supplies,Binders,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",103.66,5,-12.528,0.0,Cards
8361,CA-2020-147207,2020-01-02,2020-01-04,Second Class,TS-21655,Trudy Schmidt,Consumer,United States,El Paso,Texas,Central,OFF-AR-10001955,Office Supplies,Art,Newell 319,119.744,2,3.968,0.0,Cards
1343,CA-2020-113481,2020-01-02,2020-01-04,First Class,AS-10045,Aaron Smayling,Corporate,United States,Jacksonville,North Carolina,South,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,140.854,6,-21.1596,0.0,COD
9686,CA-2020-118668,2020-01-02,2020-01-04,Second Class,FW-14395,Fred Wasserman,Corporate,United States,Los Angeles,California,West,TEC-AC-10000682,Technology,Accessories,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,115.59,1,5.8065,0.0,Cards
9491,CA-2020-111738,2020-01-03,2020-01-07,Standard Class,CM-12385,Christopher Martinez,Consumer,United States,San Francisco,California,West,OFF-BI-10004584,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,2057.272,8,682.5168,0.0,Cards
9492,CA-2020-111738,2020-01-03,2020-01-07,Standard Class,CM-12385,Christopher Martinez,Consumer,United States,San Francisco,California,West,OFF-AR-10000817,Office Supplies,Art,Manco Dry-Lighter Erasable Highlighter,125.12,3,3.1008,0.0,Online
5258,US-2020-114034,2020-01-03,2020-01-08,Standard Class,DL-13315,Delfina Latchford,Consumer,United States,Rancho Cucamonga,California,West,OFF-PA-10004735,Office Supplies,Paper,Xerox 1905,136.88,6,18.6624,0.0,Cards
4937,CA-2020-150931,2020-01-06,2020-01-13,Standard Class,DP-13390,Dennis Pardue,Home Office,United States,Tuscaloosa,Alabama,South,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,147.74,7,15.5204,0.0,Online
7373,US-2020-123862,2020-01-07,2020-01-09,Second Class,JF-15190,Jamie Frazer,Consumer,United States,Long Beach,California,West,OFF-ST-10002301,Office Supplies,Storage,Tennsco Commercial Shelving,101.02,3,0.6102,0.0,Cards
7374,US-2020-123862,2020-01-07,2020-01-09,Second Class,JF-15190,Jamie Frazer,Consumer,United States,Long Beach,California,West,OFF-SU-10004884,Office Supplies,Supplies,Acme Galleria Hot Forged Steel Scissors with Colored Handles,156.11,7,31.9319,0.0,Cards
7372,US-2020-123862,2020-01-07,2020-01-09,Second Class,JF-15190,Jamie Frazer,Consumer,United States,Long Beach,California,West,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,186.78,11,44.5962,0.0,Cards
978,CA-2020-159366,2020-01-07,2020-01-10,First Class,BW-11110,Bart Watters,Corporate,United States,Detroit,Michigan,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3096.982,2,679.996,0.0,Online
7375,US-2020-123862,2020-01-07,2020-01-09,Second Class,JF-15190,Jamie Frazer,Consumer,United States,Long Beach,California,West,OFF-FA-10003112,Office Supplies,Fasteners,Staples,107.89,1,3.5505,0.0,Online
2121,US-2020-168690,2020-01-07,2020-01-13,Standard Class,TS-21085,Thais Sissman,Consumer,United States,Ormond Beach,Florida,South,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,93.808,3,-1.9656,0.0,COD
2290,CA-2020-115154,2020-01-08,2020-01-11,First Class,RS-19420,Ricardo Sperren,Corporate,United States,Seattle,Washington,West,FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables,930.98,2,80.3682,0.0,Cards
7221,CA-2020-154760,2020-01-09,2020-01-13,Standard Class,BP-11290,Beth Paige,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,311.491,3,-228.7425,0.0,Online
8641,US-2020-148551,2020-01-12,2020-01-16,Standard Class,DB-13120,David Bremer,Corporate,United States,Dallas,Texas,Central,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,790.98,5,-1141.47,0.0,Cards
5900,CA-2020-108000,2020-01-12,2020-01-16,Standard Class,LS-16945,Linda Southworth,Corporate,United States,San Francisco,California,West,OFF-EN-10002621,Office Supplies,Envelopes,Staple envelope,96.78,1,4.89,0.0,Cards
1847,US-2020-158512,2020-01-12,2020-01-17,Second Class,DA-13450,Dianna Arnett,Home Office,United States,Washington,District of Columbia,East,FUR-FU-10004973,Furniture,Furnishings,Flat Face Poster Frame,164.68,2,15.8256,0.0,Cards
1846,US-2020-158512,2020-01-12,2020-01-17,Second Class,DA-13450,Dianna Arnett,Home Office,United States,Washington,District of Columbia,East,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,138.08,6,19.2384,0.0,Cards
6622,US-2020-167402,2020-01-13,2020-01-18,Second Class,CP-12085,Cathy Prescott,Corporate,United States,Springfield,Missouri,Central,FUR-BO-10001608,Furniture,Bookcases,"Hon Metal Bookcases, Black",252.94,3,53.235,0.0,Cards
6620,US-2020-167402,2020-01-13,2020-01-18,Second Class,CP-12085,Cathy Prescott,Corporate,United States,Springfield,Missouri,Central,OFF-AR-10004010,Office Supplies,Art,Hunt Boston Vacuum Mount KS Pencil Sharpener,258.94,6,54.5844,0.0,COD
6621,US-2020-167402,2020-01-13,2020-01-18,Second Class,CP-12085,Cathy Prescott,Corporate,United States,Springfield,Missouri,Central,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,4200.05,5,83.281,0.0,COD
6619,US-2020-167402,2020-01-13,2020-01-18,Second Class,CP-12085,Cathy Prescott,Corporate,United States,Springfield,Missouri,Central,OFF-PA-10004983,Office Supplies,Paper,Xerox 23,121.4,5,15.552,0.0,Cards
4912,CA-2020-127306,2020-01-14,2020-01-18,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Johnson City,Tennessee,South,TEC-PH-10001924,Technology,Phones,iHome FM Clock Radio with Lightning Dock,129.984,2,6.999,1.0,Online
6980,CA-2020-149076,2020-01-14,2020-01-19,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Los Angeles,California,West,OFF-PA-10000483,Office Supplies,Paper,Xerox 19,183.9,5,69.705,0.0,COD
9865,CA-2020-113278,2020-01-14,2020-01-20,Standard Class,HR-14770,Hallie Redmond,Home Office,United States,Richmond,Indiana,Central,TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse,188.8,4,70.312,0.0,Online
4165,US-2020-106131,2020-01-14,2020-01-16,First Class,TP-21565,Tracy Poddar,Corporate,United States,Aurora,Colorado,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,194.064,7,-14.7931,0.0,Online
4166,US-2020-106131,2020-01-14,2020-01-16,First Class,TP-21565,Tracy Poddar,Corporate,United States,Aurora,Colorado,West,OFF-ST-10003638,Office Supplies,Storage,Mobile Personal File Cube,217.624,9,14.7546,0.0,Cards
1184,CA-2020-138779,2020-01-14,2020-01-15,First Class,RB-19570,Rob Beeghly,Consumer,United States,Jacksonville,North Carolina,South,TEC-PH-10003655,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,89.92,5,0.693,0.0,Cards
9866,CA-2020-113278,2020-01-14,2020-01-20,Standard Class,HR-14770,Hallie Redmond,Home Office,United States,Richmond,Indiana,Central,FUR-FU-10001037,Furniture,Furnishings,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",89.96,2,8.532,0.0,Cards
9863,CA-2020-113278,2020-01-14,2020-01-20,Standard Class,HR-14770,Hallie Redmond,Home Office,United States,Richmond,Indiana,Central,TEC-AC-10001445,Technology,Accessories,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,102.12,4,2.5452,0.0,Online
9864,CA-2020-113278,2020-01-14,2020-01-20,Standard Class,HR-14770,Hallie Redmond,Home Office,United States,Richmond,Indiana,Central,OFF-PA-10004156,Office Supplies,Paper,Xerox 188,99.34,1,5.5566,0.0,COD
